CONSTI_NAME,CountiCode,SurName,OtherNames,COUNTY_NAME,
Kuria West,44,"Robi, Mathias Nyamabe",MIGORI,
Nyatike,44,"Odege, Tom Mboya",MIGORI,
Rongo,44,"Abuor, Paul",MIGORI,
Suna East,44,"Nuh, Junet Sheikh",MIGORI,
Suna west,44,"Masara, Peter Francis",MIGORI,
Uriri,44,"Nyamita, Mark Ogolla",MIGORI,
Changamwe,1,"Shimbwa, Omar Mwinyi",MOMBASA,
Jomvu,1,"Bady, Bady Twalib",MOMBASA,
Kisauni,1,"Mbogo, Ali Menza",MOMBASA,
Likoni,1,"Mboko, Mishi Juma Khamisi",MOMBASA,
Mvita,1,"Nassir, Abdullswamad Sheriff",MOMBASA,
Nyali,1,Mohamed Mohamed Ali,MOMBASA,
Kangema,21,"Kigano, Clement Muturi",MURANG'A,
Kiharu,21,"Nyoro, Samson Ndindi",MURANG'A,
Mathioya,21,"Kihara, Peter Kimari",MURANG'A,
Kigumo,21,"Mwaniki, Ruth Wangari",MURANG'A,
Kandara,21,"Wahome, Alice Muthoni",MURANG'A,
Maragwa,21,"Njoroge, Mary Wamaua Waithira",MURANG'A,
Gatanga,21,"Ngugi, Joseph Nduati",MURANG'A,
Mosop,29,"Tuwei, Vincent Kipkurui",NANDI,
Aldai,29,"Serem, Cornelly",NANDI,
Emgwen,29,"Kosgey, Alexander Kimutai Kigen",NANDI,
Tinderet,29,"Kibiwot, Julius Melly",NANDI,
Narok North,33,"Ole Kenta, Richard Moitalel",NAROK,
Narok South,33,"Ole Lemein, Dr. Korei",NAROK,
Narok East,33,"Aramat, Lemanken",NAROK,
Narok West,33,"Tongoyo, Gabriel Koshal",NAROK,
Emurua Dikirr,33,"Kipyegon, Johana Ngeno",NAROK,
Kilgoris,33,"Konchela, Gideon Sitelu",NAROK,
Kitutu Masaba,46,"Mose, Shadrack John",NYAMIRA,
West Mugirango,46,"Mogaka, Vincent Kemosi",NYAMIRA,
North Mugirango,46,"Nyamoko, Joash Nyamache",NYAMIRA,
Borabu,46,"Momanyi, Ben George Orori",NYAMIRA,
Kinangop,18,"Thuku, Zachary Kwenya",NYANDARUA,
Kipiriri,18,"Kimunyah, Amos Muhinga",NYANDARUA,
Ol Kalou,18,"Kiaraho, David Njuguna",NYANDARUA,
